#H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
#T=298K Case (a) g_OO(r)

# Bin no.        r             g(r)        std.
    307  9.150014      1.003159     0.5836136E-01
    308  9.180014      1.003395     0.5931663E-01
    309  9.210013      1.001655     0.5907699E-01
    310  9.240013      1.002577     0.5852657E-01
    311  9.270013      1.003379     0.5696905E-01
    312  9.300013      1.001941     0.5737876E-01
    313  9.330012      1.006279     0.5730496E-01
    314  9.360012      1.003079     0.5598119E-01
    315  9.390012      1.004206     0.5598012E-01
    316  9.420012      1.004860     0.5596947E-01
    317  9.450011      1.004074     0.5680560E-01
    318  9.480011      1.001807     0.5599396E-01
    319  9.510011      1.002746     0.5534297E-01
    320  9.540010      1.001901     0.5518226E-01
    321  9.570010      1.002837     0.5527292E-01
    322  9.600010      1.004624     0.5610987E-01
    323  9.630010      1.002691     0.5568548E-01
    324  9.660009      1.003590     0.5464607E-01
    325  9.690009      1.003480     0.5515417E-01
    326  9.720009      1.002195     0.5583085E-01
    327  9.750009      1.003485     0.5438914E-01
    328  9.780008      1.002246     0.5424539E-01
    329  9.810008      1.000576     0.5378191E-01
    330  9.840008      1.003964     0.5309820E-01
    331  9.870008      1.001624     0.5346958E-01
    332  9.900007      1.001180     0.5390368E-01
    333  9.930007      1.002708     0.5324841E-01
    334  9.960007      1.003867     0.5337251E-01
    335  9.990006      1.004679     0.5355201E-01
    336  10.02001      1.003095     0.5305665E-01
    337  10.05001      1.004657     0.5153623E-01
    338  10.08001      1.005281     0.5258043E-01
    339  10.11001      1.003790     0.5339819E-01
    340  10.14001      1.005208     0.5269593E-01
    341  10.17000      1.006840     0.5299370E-01
    342  10.20000      1.004486     0.5179120E-01
    343  10.23000      1.004783     0.5201513E-01
    344  10.26000      1.006144     0.5247376E-01
    345  10.29000      1.002800     0.5171634E-01
    346  10.32000      1.006470     0.5133343E-01
    347  10.35000      1.003886     0.5023605E-01
    348  10.38000      1.003743     0.5055185E-01
    349  10.41000      1.005918     0.5163675E-01
    350  10.44000      1.006384     0.5231108E-01
    351  10.47000      1.006721     0.5009942E-01
    352  10.50000      1.003334     0.4993735E-01
    353  10.53000      1.003597     0.4980828E-01
    354  10.56000      1.002646     0.5065197E-01
    355  10.59000      1.005069     0.5044562E-01
    356  10.62000      1.002882     0.5087155E-01
    357  10.65000      1.003616     0.4970286E-01
    358  10.68000      1.003562     0.5154317E-01
    359  10.71000      1.005396     0.4949737E-01
    360  10.74000      1.005270     0.4989078E-01
    361  10.77000      1.001126     0.4871202E-01
    362  10.80000      1.003721     0.4985851E-01
    363  10.83000      1.003117     0.4837682E-01
    364  10.86000      1.001877     0.4987405E-01
    365  10.89000      1.001346     0.4903034E-01
    366  10.92000      1.003427     0.4865815E-01
    367  10.95000      1.000085     0.4943591E-01
    368  10.98000      1.001601     0.4840146E-01
    369  11.01000      1.000547     0.4797099E-01
    370  11.04000      1.001990     0.4914084E-01
    371  11.07000     0.9987745     0.4813473E-01
    372  11.10000      1.000454     0.4884643E-01
    373  11.13000     0.9995386     0.4793867E-01
    374  11.16000     0.9997680     0.4809074E-01
    375  11.19000      1.000575     0.4737838E-01
    376  11.22000     0.9990068     0.4762244E-01
    377  11.25000     0.9999112     0.4715392E-01
    378  11.27999     0.9996253     0.4797472E-01
    379  11.30999     0.9969959     0.4707864E-01
    380  11.33999     0.9981893     0.4716276E-01
    381  11.36999     0.9966745     0.4744124E-01
    382  11.39999     0.9955378     0.4710459E-01
    383  11.42999     0.9950005     0.4648427E-01
    384  11.45999     0.9947599     0.4594516E-01
    385  11.48999     0.9931349     0.4643873E-01
    386  11.51999     0.9952046     0.4686991E-01
    387  11.54999     0.9940413     0.4574494E-01
    388  11.57999     0.9947714     0.4638158E-01
    389  11.60999     0.9939804     0.4590882E-01
    390  11.63999     0.9963487     0.4447248E-01
    391  11.66999     0.9942762     0.4534908E-01
    392  11.69999     0.9949928     0.4498949E-01
    393  11.72999     0.9931981     0.4519900E-01
    394  11.75999     0.9933754     0.4491723E-01
    395  11.78999     0.9952150     0.4592505E-01
    396  11.81999     0.9963378     0.4451334E-01
    397  11.84999     0.9938220     0.4523393E-01
    398  11.87999     0.9945114     0.4400156E-01
    399  11.90999     0.9955375     0.4439736E-01
    400  11.93999     0.9948949     0.4481427E-01
    401  11.96999     0.9950398     0.4486545E-01
    402  11.99999     0.9951226     0.4487608E-01
    403  12.02999     0.9957833     0.4509800E-01
    404  12.05999     0.9959788     0.4386454E-01
    405  12.08999     0.9940588     0.4412804E-01
    406  12.11999     0.9955115     0.4263383E-01
    407  12.14999     0.9970798     0.4426223E-01
    408  12.17999     0.9966902     0.4363429E-01
    409  12.20999     0.9954905     0.4387201E-01
    410  12.23999     0.9970434     0.4338840E-01
    411  12.26999     0.9980369     0.4319151E-01
    412  12.29999     0.9972447     0.4391886E-01
    413  12.32999     0.9970769     0.4357414E-01
    414  12.35999     0.9984494     0.4253656E-01
    415  12.38999     0.9994074     0.4299926E-01
    416  12.41998     0.9976634     0.4265061E-01
    417  12.44998     0.9990629     0.4310033E-01
    418  12.47998     0.9998347     0.4238073E-01
    419  12.50998     0.9987840     0.4225114E-01
    420  12.53998      1.000475     0.4277271E-01
    421  12.56998      1.002153     0.4288266E-01
    422  12.59998      1.002192     0.4244819E-01
    423  12.62998      1.002309     0.4208435E-01
    424  12.65998      1.004136     0.4122436E-01
    425  12.68998      1.003143     0.4256737E-01
    426  12.71998      1.004154     0.4170019E-01
    427  12.74998      1.006740     0.4211125E-01
    428  12.77998      1.006390     0.4183434E-01
    429  12.80998      1.003877     0.4241025E-01
    430  12.83998      1.005786     0.4173305E-01
    431  12.86998      1.005978     0.4290489E-01
    432  12.89998      1.005519     0.4178444E-01
    433  12.92998      1.006876     0.4170877E-01
    434  12.95998      1.005418     0.4172305E-01
    435  12.98998      1.004943     0.4156848E-01
    436  13.01998      1.005331     0.4161434E-01
    437  13.04998      1.005634     0.4162866E-01
    438  13.07998      1.004768     0.4306159E-01
    439  13.10998      1.003979     0.4279083E-01
    440  13.13998      1.004362     0.4311416E-01
    441  13.16998      1.004619     0.4229062E-01
    442  13.19998      1.003290     0.4314870E-01
    443  13.22998      1.003454     0.4322185E-01
    444  13.25998      1.003435     0.4280058E-01
    445  13.28998      1.004632     0.4264572E-01
    446  13.31998      1.002597     0.4285346E-01
    447  13.34998      1.003314     0.4273228E-01
    448  13.37998      1.003782     0.4472240E-01
    449  13.40998      1.001495     0.4408344E-01
    450  13.43998      1.000591     0.4246223E-01
    451  13.46998      1.000123     0.4306297E-01
    452  13.49998      1.001779     0.4280058E-01
    453  13.52997      1.001788     0.4307820E-01
    454  13.55997      1.000483     0.4291739E-01
    455  13.58997      1.001095     0.4374411E-01
    456  13.61997     0.9997140     0.4404354E-01
    457  13.64997     0.9981456     0.4372026E-01
    458  13.67997     0.9995257     0.4379586E-01
    459  13.70997     0.9996956     0.4461165E-01
    460  13.73997      1.000001     0.4387609E-01
    461  13.76997     0.9988470     0.4442756E-01
    462  13.79997      1.000194     0.4452338E-01
    463  13.82997     0.9985591     0.4496166E-01
    464  13.85997     0.9982964     0.4492652E-01
    465  13.88997     0.9992488     0.4486412E-01
    466  13.91997      1.000209     0.4539834E-01
    467  13.94997     0.9988368     0.4406857E-01
    468  13.97997     0.9979627     0.4396701E-01
    469  14.00997     0.9979408     0.4468240E-01
    470  14.03997     0.9976818     0.4351460E-01
    471  14.06997     0.9967760     0.4513103E-01
    472  14.09997     0.9975981     0.4467240E-01
    473  14.12997     0.9971069     0.4440273E-01
    474  14.15997     0.9969415     0.4606954E-01
    475  14.18997     0.9967518     0.4475571E-01
    476  14.21997     0.9985687     0.4455750E-01
    477  14.24997     0.9973835     0.4540491E-01
    478  14.27997     0.9979188     0.4497492E-01
    479  14.30997     0.9965015     0.4534382E-01
    480  14.33997     0.9972618     0.4666727E-01
    481  14.36997     0.9973894     0.4635780E-01
    482  14.39997     0.9980615     0.4666408E-01
    483  14.42997     0.9981502     0.4605918E-01
    484  14.45997     0.9988666     0.4682347E-01
    485  14.48997     0.9985693     0.4683366E-01
    486  14.51997      1.001629     0.4610834E-01
    487  14.54997     0.9976696     0.4587506E-01
    488  14.57997     0.9995285     0.4628510E-01
    489  14.60997     0.9992940     0.4565364E-01
    490  14.63997      1.000080     0.4547574E-01
    491  14.66996     0.9997200     0.4687564E-01
    492  14.69996     0.9994077     0.4597370E-01
    493  14.72996     0.9997832     0.4685656E-01
    494  14.75996     0.9989546     0.4664683E-01
    495  14.78996      1.000661     0.4769561E-01
    496  14.81996     0.9967945     0.4780296E-01
    497  14.84996     0.9973351     0.4840330E-01
    498  14.87996     0.9992819     0.4759239E-01
    499  14.90996     0.9988430     0.4741862E-01
    500  14.93996     0.9984154     0.4807711E-01
    501  14.96996     0.9973823     0.4774994E-01
    502  14.99996     0.9977349     0.4807897E-01
    503  15.02996     0.9971173     0.4861097E-01
    504  15.05996     0.9988119     0.4822689E-01
    505  15.08996     0.9980900     0.4874627E-01
    506  15.11996     0.9967191     0.4852015E-01
    507  15.14996     0.9997198     0.4884338E-01
    508  15.17996     0.9961564     0.4876583E-01
    509  15.20996     0.9978762     0.4825963E-01
    510  15.23996     0.9985988     0.5040366E-01
    511  15.26996     0.9960222     0.4805045E-01
    512  15.29996     0.9975676     0.5005597E-01
    513  15.32996      1.000606     0.4953228E-01
    514  15.35996     0.9999873     0.4958279E-01
    515  15.38996     0.9996374     0.4949014E-01
    516  15.41996     0.9995773     0.5004526E-01
    517  15.44996     0.9999313     0.4965487E-01
    518  15.47996      1.002347     0.5162405E-01
    519  15.50996      1.001690     0.5008038E-01
    520  15.53996      1.003672     0.5074837E-01
    521  15.56996      1.000091     0.5124278E-01
    522  15.59996     0.9987200     0.5094238E-01
    523  15.62996      1.001842     0.5067903E-01
    524  15.65996      1.001578     0.5061430E-01
    525  15.68996      1.002507     0.5178429E-01
    526  15.71996      1.000455     0.5277618E-01
    527  15.74996      1.003652     0.5248740E-01
    528  15.77995      1.003768     0.5156398E-01
    529  15.80995     0.9994087     0.5324057E-01
    530  15.83995      1.001315     0.5163675E-01
    531  15.86995      1.001498     0.5168521E-01
    532  15.89995     0.9996763     0.5258043E-01
    533  15.92995      1.001091     0.5410676E-01
    534  15.95995      1.001920     0.5358539E-01
    535  15.98995      1.000639     0.5368985E-01
    536  16.01995      1.002874     0.5312626E-01
    537  16.04996      1.001779     0.5462971E-01
    538  16.07996      1.000815     0.5541078E-01
    539  16.10996      1.001100     0.5392911E-01
    540  16.13996      1.002051     0.5520062E-01
    541  16.16996      1.002348     0.5407591E-01
    542  16.19996      1.001698     0.5540110E-01
    543  16.22996      1.001032     0.5462534E-01
    544  16.25996      1.002447     0.5479965E-01
    545  16.28996      1.003660     0.5552576E-01
    546  16.31996     0.9999981     0.5461225E-01
    547  16.34996      1.003476     0.5683288E-01
    548  16.37996      1.000544     0.5708402E-01
    549  16.40996      1.003691     0.5760684E-01
    550  16.43996      1.003987     0.5787935E-01
    551  16.46996      1.003777     0.5754369E-01
    552  16.49997      1.001574     0.5759028E-01
    553  16.52997      1.002955     0.5759235E-01
    554  16.55997      1.001396     0.5892039E-01
    555  16.58997      1.005126     0.5833888E-01
    556  16.61997      1.000708     0.6047891E-01
    557  16.64997      1.002486     0.6049566E-01
    558  16.67997      1.003811     0.6040100E-01
    559  16.70997      1.003787     0.5955930E-01
    560  16.73997      1.003972     0.6104590E-01
    561  16.76997      1.005883     0.6055672E-01
    562  16.79997      1.005969     0.6277215E-01
    563  16.82997      1.003485     0.6036053E-01
    564  16.85997      1.004083     0.6142551E-01
    565  16.88997      1.003318     0.6087675E-01
    566  16.91998      1.003510     0.6370901E-01
    567  16.94998      1.001889     0.6207033E-01
    568  16.97998      1.002337     0.6252670E-01
    569  17.00998      1.003591     0.6400862E-01
    570  17.03998      1.001409     0.6462398E-01
    571  17.06998     0.9999763     0.6472444E-01
    572  17.09998      1.002573     0.6597310E-01
    573  17.12998     0.9961298     0.6558119E-01
    574  17.15998     0.9966438     0.6658910E-01
    575  17.18998     0.9997430     0.6443971E-01
    576  17.21998     0.9958271     0.6710804E-01
    577  17.24998     0.9977290     0.6725089E-01
    578  17.27998     0.9943774     0.6981355E-01
    579  17.30998     0.9928188     0.6744956E-01
    580  17.33998     0.9942447     0.6809379E-01
    581  17.36999     0.9940000     0.6885588E-01
    582  17.39999     0.9925032     0.6872764E-01
    583  17.42999     0.9938258     0.7137930E-01
    584  17.45999     0.9912301     0.7051270E-01
    585  17.48999     0.9930652     0.7237154E-01
    586  17.51999     0.9900817     0.7079826E-01
    587  17.54999     0.9909790     0.7205831E-01
    588  17.57999     0.9922360     0.7324503E-01
    589  17.60999     0.9892259     0.7414322E-01
    590  17.63999     0.9887735     0.7383226E-01
    591  17.66999     0.9914894     0.7411227E-01
    592  17.69999     0.9876820     0.7609867E-01
    593  17.72999     0.9909180     0.7714766E-01
    594  17.75999     0.9900305     0.7740105E-01
    595  17.79000     0.9898648     0.7715578E-01
    596  17.82000     0.9999992     0.1544081E-02
   
